cardholder_id,card_number,card_type,customer_name,email,phone_number,country,preferred_currency,reward_points,risk_score
CH0001,XXXX-XXXX-XXXX-2144,Platinum,Rachel Brown,codypatton@anderson.com,+1-679-258-9025x2905,USA,INR,1993,0.22
CH0002,XXXX-XXXX-XXXX-4499,Platinum,Margaret Jones,kimberlystephens@gmail.com,001-321-499-6763x88945,Australia,EUR,2337,0.43
CH0003,XXXX-XXXX-XXXX-5549,Platinum,Erika Cobb,wattsdavid@hotmail.com,917.284.8820x37261,USA,USD,4855,0.4
CH0004,XXXX-XXXX-XXXX-5673,Platinum,Tyler Huang,zacharyavery@fowler.com,001-184-752-8255x0790,Canada,EUR,3454,0.69
CH0005,XXXX-XXXX-XXXX-4586,Gold,Scott Obrien,nicolasschultz@barnes-mosley.com,+1-212-777-3818x171,UK,USD,6465,0.37
CH0006,XXXX-XXXX-XXXX-9820,Gold,Michael Leblanc,millermary@yahoo.com,269-238-3696,India,GBP,2570,0.67
CH0007,XXXX-XXXX-XXXX-4792,Platinum,Mary Potter,tracy44@briggs-williams.com,+1-043-537-1177x063,India,USD,7512,0.08
CH0008,XXXX-XXXX-XXXX-9571,Business,Donna Collins,leepeter@hotmail.com,+1-767-683-1176x46661,Australia,AUD,9510,0.06
CH0009,XXXX-XXXX-XXXX-2069,Business,Alexandra Osborne,erica71@gmail.com,(850)485-9920,USA,INR,4257,0.83
CH0010,XXXX-XXXX-XXXX-2280,Silver,Samantha Green,xcampbell@smith.com,583.354.9425x5640,Germany,AUD,1351,0.16
CH0011,XXXX-XXXX-XXXX-5337,Platinum,Michelle Jimenez,justin52@lee-pena.net,(954)096-4268x98800,USA,GBP,5474,0.31
CH0012,XXXX-XXXX-XXXX-6351,Platinum,Mary Buck,ujames@hubbard.org,+1-330-787-2681x437,Germany,EUR,3149,0.65
CH0013,XXXX-XXXX-XXXX-6478,Platinum,Ronald Hicks,priscilla80@gmail.com,001-369-773-4727x45616,India,EUR,9075,0.59
CH0014,XXXX-XXXX-XXXX-1845,Business,Corey Gregory,taylorcaitlyn@miller-davis.com,349.391.5159,USA,GBP,9952,0.35
CH0015,XXXX-XXXX-XXXX-5085,Gold,Michael West,robinmunoz@watson.biz,089-226-6306x146,Germany,CAD,9206,0.26
CH0016,XXXX-XXXX-XXXX-5547,Platinum,Rhonda Vasquez,karen69@bennett.com,+1-255-353-6935x343,Canada,INR,4178,0.83
CH0017,XXXX-XXXX-XXXX-2010,Silver,Rachel Andrews,roberto95@smith.info,538-600-5839x607,Germany,CAD,9328,0.1
CH0018,XXXX-XXXX-XXXX-9439,Gold,Amber Strong,james70@carpenter.com,+1-965-075-9588x202,India,AUD,2234,0.18
CH0019,XXXX-XXXX-XXXX-1289,Business,Warren Levy,porteralvin@gmail.com,(672)073-7435x42000,India,CAD,3876,0.92
CH0020,XXXX-XXXX-XXXX-6045,Platinum,Michael Patterson,franklincruz@yahoo.com,772-000-4753,Germany,EUR,9682,0.22
CH0021,XXXX-XXXX-XXXX-5711,Platinum,Nicole Ryan,zescobar@gmail.com,444-517-0933x7937,UK,INR,727,0.36
CH0022,XXXX-XXXX-XXXX-4203,Platinum,Mario Strong,imartin@jones-curtis.com,+1-516-147-5037x01765,USA,CAD,3130,0.96
CH0023,XXXX-XXXX-XXXX-1530,Silver,Tracy Hunter,colemanphillip@lozano.com,4432418134,USA,CAD,4041,0.89
CH0024,XXXX-XXXX-XXXX-8965,Gold,Steven Martin,sanchezmichelle@fuentes.com,(622)687-5128x729,Australia,INR,3152,0.79
CH0025,XXXX-XXXX-XXXX-7116,Business,Danielle Mosley,qford@medina.info,+1-444-091-9417,India,GBP,2481,0.77
CH0026,XXXX-XXXX-XXXX-8053,Business,Jessica Austin,kentjudith@kane.info,+1-893-439-0105x513,UK,GBP,552,0.46
CH0027,XXXX-XXXX-XXXX-5425,Gold,Steven Wagner,brittanyryan@johnson-campbell.com,001-409-653-8302,Germany,AUD,858,0.09
CH0028,XXXX-XXXX-XXXX-2765,Business,Kimberly Mora,hailey82@harrington.com,+1-768-279-8478x47523,Australia,AUD,6508,0.99
CH0029,XXXX-XXXX-XXXX-9151,Silver,Ashley Butler,powersryan@gmail.com,001-104-002-3174x5379,Australia,INR,9266,0.32
CH0030,XXXX-XXXX-XXXX-7095,Silver,Morgan Warren,evan60@moreno-wilson.com,089-636-6833x80360,Canada,CAD,5348,0.66
CH0031,XXXX-XXXX-XXXX-2660,Business,Tina Griffin,jacksonstephen@miller.com,216-432-9354,Canada,GBP,1613,0.38
CH0032,XXXX-XXXX-XXXX-8370,Business,Nicholas Baird,burkepaul@hotmail.com,+1-634-215-9031x89606,Canada,CAD,8940,0.17
CH0033,XXXX-XXXX-XXXX-2032,Silver,Gloria Garcia,boltonchristopher@yahoo.com,066.859.8559x12037,India,AUD,1144,0.83
CH0034,XXXX-XXXX-XXXX-6749,Business,Amanda Nguyen,sarah26@foster-hernandez.com,168-692-5269x2365,India,CAD,4189,0.04
CH0035,XXXX-XXXX-XXXX-1867,Gold,Regina Roach,romanrobert@gmail.com,001-015-388-6981,Canada,GBP,8024,0.47
CH0036,XXXX-XXXX-XXXX-8339,Platinum,Nicole Diaz,williamtorres@bailey-james.com,021-277-3085x6618,Canada,EUR,6667,0.66
CH0037,XXXX-XXXX-XXXX-9655,Silver,Matthew Mclaughlin,kristina79@cannon.net,584.985.6485x575,India,CAD,5517,0.51
CH0038,XXXX-XXXX-XXXX-5089,Silver,Mark Carter,holmesjames@gmail.com,+1-806-190-8879,Canada,EUR,3960,0.45
CH0039,XXXX-XXXX-XXXX-7421,Silver,Kenneth Rodriguez,rowejames@moore-khan.net,001-443-134-9473x9369,Germany,USD,9966,0.93
CH0040,XXXX-XXXX-XXXX-8734,Platinum,Pamela Hill,joananderson@richards.net,866.423.1984,USA,GBP,4589,0.6
CH0041,XXXX-XXXX-XXXX-1279,Gold,Jaime Davis,westdavid@simmons-hughes.com,899-878-8185,Canada,EUR,8344,0.17
CH0042,XXXX-XXXX-XXXX-4530,Platinum,Alyssa Morrow,lovetony@yahoo.com,448-689-5024,Germany,AUD,6941,0.64
CH0043,XXXX-XXXX-XXXX-6591,Gold,Rhonda Deleon,sarahjohnson@butler.com,(089)197-1028,Canada,EUR,8759,0.2
CH0044,XXXX-XXXX-XXXX-3364,Silver,Jordan Brooks,vrobinson@hall.org,9991658575,India,AUD,3763,0.48
CH0045,XXXX-XXXX-XXXX-3790,Gold,Jose Todd,loganaaron@gmail.com,468.877.1929,UK,AUD,4360,0.18
CH0046,XXXX-XXXX-XXXX-5180,Silver,William Payne,alejandrozuniga@grimes-norton.net,001-518-254-8118x8797,Australia,INR,4434,0.53
